"Nombre de la categoría","Número ID de la categoría","Nombre completo del curso","Nombre corto del curso","Número ID del curso","Fecha de inicio del curso","Fecha de finalización del curso","Nombre corto del curso con enlace"
"Abiertos Asincrónicos",,"Manejo de Power Bi Nivel Básico IDEAL V4",127,,"miércoles, 5 de noviembre de 2025, 00:00","domingo, 30 de noviembre de 2025, 23:59",127
"Abiertos Asincrónicos",,"Restauración del curso iniciada",restaurando,,,,restaurando
"Abiertos Asincrónicos",,"Manejo de Excel Nivel Básico PROVIDA",133,,"miércoles, 5 de noviembre de 2025, 00:00","viernes, 5 de diciembre de 2025, 23:59",133
"Abiertos Asincrónicos",,"Manejo de Excel Nivel Intermedio PROVIDA",134,,"miércoles, 5 de noviembre de 2025, 00:00","viernes, 5 de diciembre de 2025, 23:49",134
"Abiertos Asincrónicos",,"IA Generativa PROVIDA",135,,"miércoles, 5 de noviembre de 2025, 00:00","viernes, 5 de diciembre de 2025, 23:59",135
"Abiertos Asincrónicos",,"Manejo de Excel Nivel Básico ALSACIA",138,,"martes, 18 de noviembre de 2025, 00:00","miércoles, 31 de diciembre de 2025, 23:59",138
"Abiertos Asincrónicos",,"Automatización en la Gestión VSPT",140,,"lunes, 17 de noviembre de 2025, 00:00","miércoles, 31 de diciembre de 2025, 23:59",140
"Abiertos Asincrónicos",,"Manejo de Excel Nivel Básico Hotel DA",142,,"lunes, 24 de noviembre de 2025, 00:00","domingo, 21 de diciembre de 2025, 23:59",142
"Abiertos Asincrónicos",,"Geminis Básico Fullkom Grupo A",143,,"martes, 25 de noviembre de 2025, 00:00","domingo, 21 de diciembre de 2025, 23:59",143
"Abiertos Asincrónicos",,"Geminis Básico Fullkom Grupo B",144,,"martes, 25 de noviembre de 2025, 00:00","domingo, 21 de diciembre de 2025, 23:59",144
"Abiertos Asincrónicos",,Lenguaje,147,,"sábado, 29 de noviembre de 2025, 00:00","lunes, 1 de diciembre de 2025, 13:21",147
"Abiertos Sincrónicos",,"Power Bi Nivel Básico MOP Dirección Vialidad",70,,"miércoles, 25 de junio de 2025, 00:00","jueves, 9 de julio de 2025, 23:59",70
"Abiertos Sincrónicos",,"Manejo de Power Bi Nivel Intermedio",123,,"martes, 14 de octubre de 2025, 00:00","jueves, 30 de octubre de 2025, 23:59",123
"Abiertos Sincrónicos",,"Manejo de Power Bi Web Nivel Básico",124,,"miércoles, 15 de octubre de 2025, 00:00","miércoles, 29 de octubre de 2025, 23:59",124
"Abiertos Sincrónicos",,"Manejo de Power Bi Nivel Básico MINVU",136,,"miércoles, 12 de noviembre de 2025, 00:00","miércoles, 26 de noviembre de 2025, 23:59",136
"Abiertos Sincrónicos",,"Power Query Subsecretaria de Transportes",137,,"jueves, 13 de noviembre de 2025, 00:00","martes, 9 de diciembre de 2025, 23:59",137
"Abiertos Sincrónicos",,"Manejo de Power Bi Nivel Intermedio SERVEL",145,,"lunes, 24 de noviembre de 2025, 00:00","martes, 9 de diciembre de 2025, 23:59",145
